Site No.,SU Type,SU No.,SU Description,FAP,FAP General,FAP Specific,FAT,FAT General,FAT Specific,PD No.,FS No.,PL No.,Item No.,Type Code,Type,Form,Part,Finish,Count,Weight (g),Vessel,Comments,Collection Date
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,GRA,Indeterminate Local Gray,J,B,,2,5.6,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,LWU,Late White Unpainted,J,B,,3,15,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,EWU,Early White Unpainted,B,B,,1,1.3,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,,CRG,Indeterminate Local Corrugated Gray,J,B,,14,37.8,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,1,MRG,Mancos Corrugated Gray,J,R,,1,7.4,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,2,MBW,Mancos Black-on-white,B,R,M,1,7.6,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,3,,3,MBW,Mancos Black-on-white,B,R,X,1,12.4,,,8/29/1996
5MT5,NST,101,extramural surface,13,surface contact,and fill above,10,cultural deposit,not further specified,370,6,,,LBW,Late White Painted,J,B,M,1,4.6,,,8/29/1996
5MT5,NST,101,extramural surface,16,surface contact,ephemeral or reuse surface in fill,10,cultural deposit,not further specified,456,1,1,,LWU,Late White Unpainted,J,B,,1,14.5,,,8/6/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,HBW,Pueblo III White Painted,B,B,C,2,19.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,B,B,C,38,133.2,,2 pieces refit,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,J,B,C,10,45.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,EBW,McElmo Black-on-white,B,B,C,2,38.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,O,B,,1,5.9,,handles,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,CRG,Indeterminate Local Corrugated Gray,J,B,,330,1036.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,O,B,,1,5.8,,handle,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,U,B,,3,8,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,B,B,,9,42.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LWU,Late White Unpainted,J,B,,28,115.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,,LBW,Late White Painted,U,B,C,7,4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,1,MRG,Mancos Corrugated Gray,J,R,,1,5.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,2,MRG,Mancos Corrugated Gray,J,R,,1,9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,3,VRG,Mesa Verde Corrugated Gray,J,R,,1,5.6,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,4,CRG,Indeterminate Local Corrugated Gray,J,R,,1,4.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,5,CRG,Indeterminate Local Corrugated Gray,J,R,,1,2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,6,CRG,Indeterminate Local Corrugated Gray,J,R,,1,0.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,7,LWU,Late White Unpainted,B,R,,1,38.2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,8,LWU,Late White Unpainted,J,R,,1,1.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,9,LBW,Late White Painted,J,R,C,1,1.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,10,LBW,Late White Painted,J,R,C,1,1.5,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,11,HBW,Pueblo III White Painted,B,R,C,1,1.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,12,HBW,Pueblo III White Painted,B,R,C,1,5.1,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,13,HBW,Pueblo III White Painted,B,R,C,1,0.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,14,HBW,Pueblo III White Painted,B,R,C,1,8.4,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,15,LBW,Late White Painted,B,R,C,1,2.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,16,LBW,Late White Painted,B,R,C,1,6.9,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,17,LBW,Late White Painted,B,R,C,1,5.3,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,18,LBW,Late White Painted,B,R,C,1,2.2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,19,LBW,Late White Painted,B,R,C,1,1.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,20,LBW,Late White Painted,B,R,C,1,0.7,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,21,LBW,Late White Painted,B,R,C,1,0.2,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,22,LWU,Late White Unpainted,J,R,,1,0.8,,,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,9,,23,LBW,Late White Painted,O,R,C,1,1.6,,ladle?,5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,343,19,,,LWU,Late White Unpainted,U,B,,3,0.4,,"3 pieces, recent break",5/22/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,6,,,LWU,Late White Unpainted,B,B,,1,0.5,,,9/30/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,6,,,CRG,Indeterminate Local Corrugated Gray,J,B,,2,1.9,,,9/30/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LWU,Late White Unpainted,O,B,,4,21.7,,1 mug bottom; 4 handles,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LWU,Late White Unpainted,B,B,,11,36.8,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,CRG,Indeterminate Local Corrugated Gray,J,B,,189,750.3,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LWU,Late White Unpainted,U,B,,2,2.1,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LBW,Late White Painted,U,B,C,3,3.3,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LBW,Late White Painted,O,B,C,1,10,,strap handle,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,HBW,Pueblo III White Painted,B,B,C,2,19.4,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LWU,Late White Unpainted,J,B,,18,79.3,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LBW,Late White Painted,J,B,C,19,77.5,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,,LBW,Late White Painted,B,B,C,24,166,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,1,VRG,Mesa Verde Corrugated Gray,J,R,,1,21.1,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,2,VRG,Mesa Verde Corrugated Gray,J,R,,1,13.9,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,3,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.4,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,4,CRG,Indeterminate Local Corrugated Gray,J,R,,1,2.8,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,5,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.2,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,6,CRG,Indeterminate Local Corrugated Gray,J,R,,1,6.7,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,7,CRG,Indeterminate Local Corrugated Gray,J,R,,1,12.3,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,8,LWU,Late White Unpainted,B,R,,1,36.2,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,9,LWU,Late White Unpainted,B,R,,1,5.2,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,10,LWU,Late White Unpainted,J,R,,1,4.8,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,11,LWU,Late White Unpainted,B,R,,1,3.6,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,12,VBW,Mesa Verde Black-on-white,B,R,C,1,3.4,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,13,HBW,Pueblo III White Painted,B,R,C,1,1.5,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,14,HBW,Pueblo III White Painted,B,R,C,1,0.4,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,15,LBW,Late White Painted,B,R,C,1,5,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,16,LBW,Late White Painted,B,R,C,1,0.7,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,17,LBW,Late White Painted,B,R,C,1,0.3,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,18,LBW,Late White Painted,B,R,C,1,0.4,,,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,19,HBW,Pueblo III White Painted,O,R,C,1,9.3,,ladle?; repair hole,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,20,LBW,Late White Painted,O,R,C,1,8.7,,ladle,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,21,LBW,Late White Painted,O,R,C,1,5.6,,ladle,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,12,,22,LBW,Late White Painted,O,R,C,1,2.1,,ladle,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,17,,,HBW,Pueblo III White Painted,B,B,C,1,4.3,,modified sherd,9/4/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,22,,,LBW,Late White Painted,U,B,M,1,0.6,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,22,,,CRG,Indeterminate Local Corrugated Gray,J,B,,12,19.9,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,22,,,LWU,Late White Unpainted,U,B,,1,0.6,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,15,cultural deposit,recently disturbed,372,22,,,LBW,Late White Painted,J,B,M,1,0.7,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,11,,,CRG,Indeterminate Local Corrugated Gray,J,B,,3,7.8,,,9/30/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,11,,,LBW,Late White Painted,U,B,C,1,0.1,,,9/30/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,CRG,Indeterminate Local Corrugated Gray,J,B,,20,63.6,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,GRA,Indeterminate Local Gray,J,B,,4,17,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,LWU,Late White Unpainted,J,B,,3,7.2,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,LWU,Late White Unpainted,B,B,,1,11.2,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,LWU,Late White Unpainted,U,B,,4,4,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,LBW,Late White Painted,B,B,C,1,2.6,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,,LBW,Late White Painted,J,B,C,2,0.7,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,1,LWU,Late White Unpainted,U,R,,1,0.9,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,19,,2,HBW,Pueblo III White Painted,B,R,C,1,2.6,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,CRG,Indeterminate Local Corrugated Gray,J,B,,319,1211.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,RED,Indeterminate Local Red Painted,O,B,S,1,11,,handle; redware bag is missing as of 3/14/03,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LWU,Late White Unpainted,J,B,,51,345.1,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LWU,Late White Unpainted,B,B,,26,209.2,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LWU,Late White Unpainted,U,B,,10,19.5,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LWU,Late White Unpainted,O,B,,3,12.4,,"handles, 2 ladles, 1 strap",9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,J,B,C,24,120.4,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,J,B,M,4,18.1,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,B,B,C,46,206.6,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,B,B,M,3,13.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,HBW,Pueblo III White Painted,B,B,C,1,12,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,VBW,Mesa Verde Black-on-white,B,B,C,2,27.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,O,B,C,1,12.1,,ladle,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,LBW,Late White Painted,U,B,C,5,4,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,HBW,Pueblo III White Painted,B,B,C,1,1.7,,"modified sherd, not FSed separately!",9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,,CRG,Indeterminate Local Corrugated Gray,J,B,,1,2.1,,applique,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,1,MRG,Mancos Corrugated Gray,J,R,,1,12,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,2,MRG,Mancos Corrugated Gray,J,R,,1,10.7,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,3,CRG,Indeterminate Local Corrugated Gray,J,R,,1,0.5,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,4,CRG,Indeterminate Local Corrugated Gray,J,R,,1,3.7,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,5,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.5,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,6,CRG,Indeterminate Local Corrugated Gray,J,R,,1,3.2,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,7,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.5,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,8,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.1,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,9,CRG,Indeterminate Local Corrugated Gray,J,R,,1,1.9,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,10,CRG,Indeterminate Local Corrugated Gray,J,R,,1,2.5,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,11,CRG,Indeterminate Local Corrugated Gray,J,R,,1,2,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,12,LWU,Late White Unpainted,J,R,,1,3.4,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,13,LWU,Late White Unpainted,J,R,,1,16.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,14,LWU,Late White Unpainted,B,R,,1,18,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,15,VBW,Mesa Verde Black-on-white,B,R,C,1,11.1,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,16,VBW,Mesa Verde Black-on-white,B,R,C,1,0.3,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,17,EBW,McElmo Black-on-white,B,R,C,1,26.9,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,18,HBW,Pueblo III White Painted,B,R,C,1,2.9,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,20,EBW,McElmo Black-on-white,B,R,C,1,11.9,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,21,LBW,Late White Painted,B,R,C,1,6.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,22,LBW,Late White Painted,B,R,C,1,2.2,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,23,LBW,Late White Painted,B,R,C,1,0.7,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,24,HBW,Pueblo III White Painted,B,R,C,1,2.8,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,25,VBW,Mesa Verde Black-on-white,B,R,C,1,53.1,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,26,LBW,Late White Painted,O,R,C,1,10.3,,ladle,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,27,LBW,Late White Painted,O,R,C,1,16.8,,ladle,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,28,UNW,Unknown White,B,R,M,1,17.1,,refits Item 29,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,29,UNW,Unknown White,B,R,M,1,13.2,,refits Item 28,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,30,UNW,Unknown White,B,R,M,1,13.3,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,31,LWU,Late White Unpainted,B,R,,1,0.3,,,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,24,,32,LBW,Late White Painted,B,R,C,1,2.9,,may have corrugated exterior,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,373,25,,,LWU,Late White Unpainted,J,B,,1,3.4,,modified sherd,9/6/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,,CRG,Indeterminate Local Corrugated Gray,J,B,,4,7,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,,LWU,Late White Unpainted,U,B,,1,0.4,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,,HBW,Pueblo III White Painted,B,B,C,1,1.3,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,,HBW,Pueblo III White Painted,O,B,C,1,2.5,,ladle,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,,LBW,Late White Painted,B,B,C,1,0.6,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,3,,1,LWU,Late White Unpainted,B,R,,1,0.2,,,9/23/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LBW,Late White Painted,B,B,M,1,1.7,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,MBW,Mancos Black-on-white,J,B,C,2,6.7,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,HBW,Pueblo III White Painted,U,B,C,1,0.9,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,MBW,Mancos Black-on-white,U,B,C,1,0.5,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,HBW,Pueblo III White Painted,B,B,C,2,8.3,,1 carbon/mineral paint mix,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,HBW,Pueblo III White Painted,J,B,C,1,1.7,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,MBW,Mancos Black-on-white,B,B,X,3,15.1,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,VBW,Mesa Verde Black-on-white,J,B,M,1,17.4,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LBW,Late White Painted,J,B,M,1,2.2,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LBW,Late White Painted,B,B,C,2,6,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LBW,Late White Painted,J,B,C,1,1.1,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LWU,Late White Unpainted,J,B,,7,25.3,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LWU,Late White Unpainted,B,B,,8,30.8,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,MBW,Mancos Black-on-white,J,B,M,3,20.8,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,GRA,Indeterminate Local Gray,J,B,,6,26.2,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,CRG,Indeterminate Local Corrugated Gray,J,B,,79,333.7,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,,LWU,Late White Unpainted,U,B,,3,3.9,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,1,VRG,Mesa Verde Corrugated Gray,J,R,,1,16.9,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,2,MRG,Mancos Corrugated Gray,J,R,,1,6.2,,,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,3,OBW,Other White Nonlocal,J,R,M,1,6.7,,Gallup B/W,9/20/1996
5MT5,NST,102,midden,48,fill,not further specified,12,cultural deposit,secondary refuse,481,8,,4,HBW,Pueblo III White Painted,B,R,C,1,0.9,,,9/20/1996
